CO_TAZID,MF_Units,SF_Units
110001,0.0,13.0
110002,0.0,56.0
110003,0.0,27.0
110004,4.0,29.0
110005,0.0,26.0
110006,0.0,135.0
110007,0.0,156.0
110008,1.0,53.0
110009,0.0,103.0
110010,1.0,193.0
110011,1.0,153.0
110012,5.0,158.0
110013,23.0,275.0
110014,3.0,517.0
110015,72.0,315.0
110016,0.0,180.0
110017,0.0,88.0
110018,0.0,95.0
110019,68.0,150.0
110020,13.0,380.0
110021,0.0,48.0
110022,0.0,238.0
110023,0.0,358.0
110024,0.0,19.0
110025,2.0,330.0
110026,0.0,308.0
110027,12.0,195.0
110028,86.0,794.0
110029,0.0,84.0
110030,14.0,378.0
110031,0.0,466.0
110032,1.0,148.0
110033,0.0,874.0
110034,0.0,171.0
110035,1.0,395.0
110036,0.0,504.0
110037,0.0,254.0
110038,0.0,1.0
110039,0.0,365.0
110040,203.0,365.0
110041,244.0,280.0
110043,88.0,433.0
110044,107.0,391.0
110046,22.0,367.0
110054,27.0,127.0
110055,14.0,355.0
110056,72.0,493.0
110057,63.0,616.0
110058,0.0,4.0
110060,0.0,45.0
110061,46.0,391.0
110062,292.0,329.0
110063,21.0,429.0
110064,196.0,438.0
110065,235.0,517.0
110067,128.0,405.0
110068,0.0,202.0
110069,85.0,316.0
110071,0.0,34.0
110072,228.0,11.0
110073,109.0,474.0
110074,0.0,57.0
110075,0.0,379.0
110076,0.0,1.0
110077,416.0,45.0
110078,164.0,60.0
110079,64.0,290.0
110080,769.0,74.0
110081,546.0,40.0
110082,116.0,11.0
110083,744.0,9.0
110084,29.0,761.0
110085,328.0,802.0
110086,0.0,254.0
110087,0.0,97.0
110088,1.0,165.0
110089,0.0,859.0
110090,0.0,332.0
110091,1.0,371.0
110092,0.0,239.0
110093,2.0,372.0
110094,79.0,721.0
110095,0.0,5.0
110096,0.0,384.0
110097,0.0,383.0
110098,2.0,671.0
110099,116.0,597.0
110100,147.0,504.0
110101,44.0,629.0
110102,0.0,29.0
110103,13.0,57.0
110104,24.0,238.0
110105,0.0,416.0
110106,2.0,602.0
110107,0.0,388.0
110109,360.0,208.0
110110,239.0,301.0
110111,0.0,616.0
110112,951.0,413.0
110113,598.0,0.0
110114,0.0,30.0
110115,0.0,376.0
110116,11.0,657.0
110117,0.0,956.0
110118,7.0,226.0
110119,376.0,206.0
110120,523.0,256.0
110121,155.0,842.0
110122,901.0,198.0
110123,748.0,169.0
110124,386.0,1328.0
110125,0.0,102.0
110126,143.0,804.0
110127,0.0,1103.0
110128,0.0,143.0
110129,419.0,83.0
110131,63.0,15.0
110132,135.0,645.0
110133,32.0,579.0
110134,45.0,308.0
110135,1.0,161.0
110136,8.0,284.0
110137,0.0,27.0
110139,439.0,42.0
110140,30.0,543.0
110141,22.0,124.0
110142,378.0,754.0
110143,307.0,987.0
110144,0.0,218.0
110145,2.0,193.0
110146,0.0,43.0
110147,0.0,190.0
110148,32.0,255.0
110149,147.0,776.0
110150,0.0,207.0
110151,0.0,202.0
110152,0.0,98.0
110153,0.0,276.0
110154,0.0,430.0
110155,2.0,263.0
110156,229.0,166.0
110157,101.0,21.0
110158,514.0,993.0
110159,0.0,3.0
110160,0.0,170.0
110161,0.0,352.0
110162,56.0,517.0
110163,21.0,909.0
110164,0.0,27.0
110165,0.0,90.0
110166,419.0,387.0
110167,22.0,407.0
110168,0.0,170.0
110169,0.0,429.0
110170,0.0,18.0
110171,54.0,8.0
110172,0.0,1.0
110173,0.0,447.0
110174,4.0,422.0
110175,2.0,389.0
110176,126.0,563.0
110177,149.0,492.0
110178,4.0,264.0
110179,39.0,562.0
110180,6.0,297.0
110181,0.0,370.0
110182,0.0,385.0
110183,0.0,1109.0
110184,6.0,252.0
110185,0.0,190.0
110186,17.0,194.0
110187,46.0,467.0
110188,327.0,267.0
110189,0.0,642.0
110190,44.0,497.0
110191,0.0,300.0
110192,14.0,431.0
110193,69.0,194.0
110194,327.0,5.0
110195,593.0,169.0
110196,0.0,44.0
110197,0.0,817.0
110198,20.0,236.0
110199,144.0,0.0
110200,0.0,7.0
110201,26.0,250.0
110202,0.0,6.0
110203,0.0,273.0
110204,0.0,464.0
110205,80.0,191.0
110206,106.0,192.0
110207,74.0,156.0
110208,57.0,426.0
110209,4.0,342.0
110210,0.0,1.0
110211,0.0,36.0
110212,104.0,473.0
110214,38.0,337.0
110215,4.0,299.0
110216,108.0,334.0
110217,0.0,392.0
110218,0.0,485.0
110221,50.0,186.0
110222,389.0,171.0
110223,0.0,248.0
110224,2.0,724.0
110225,376.0,4.0
110226,48.0,5.0
110227,490.0,98.0
110228,68.0,211.0
110229,284.0,25.0
110230,145.0,296.0
110231,178.0,117.0
110233,0.0,181.0
110234,0.0,438.0
110235,0.0,2.0
110236,2.0,88.0
110237,78.0,300.0
110238,8.0,481.0
110239,0.0,4.0
110240,2.0,55.0
110241,8.0,65.0
110242,78.0,26.0
110244,401.0,377.0
110245,527.0,254.0
110246,175.0,411.0
110247,8.0,695.0
110248,0.0,358.0
110249,530.0,211.0
110250,215.0,134.0
110251,220.0,338.0
110252,18.0,358.0
110253,0.0,344.0
110254,0.0,551.0
110255,52.0,206.0
110256,273.0,74.0
110257,295.0,203.0
110258,49.0,270.0
110259,82.0,391.0
110260,11.0,356.0
110261,10.0,490.0
110262,0.0,155.0
110263,348.0,134.0
110264,102.0,2.0
110265,130.0,294.0
110266,101.0,452.0
110267,142.0,814.0
110268,0.0,177.0
110269,36.0,318.0
110270,0.0,206.0
110271,10.0,505.0
110272,30.0,326.0
110273,133.0,177.0
110274,236.0,128.0
110275,175.0,274.0
110276,38.0,648.0
110277,0.0,388.0
110279,67.0,30.0
110280,0.0,1.0
110281,75.0,204.0
110282,0.0,250.0
110283,80.0,289.0
110284,165.0,29.0
110285,86.0,358.0
110286,2.0,1.0
110287,31.0,790.0
110288,0.0,12.0
110289,62.0,262.0
110290,58.0,273.0
110291,4.0,90.0
110292,317.0,2.0
110293,435.0,643.0
110295,460.0,915.0
110298,127.0,11.0
110299,389.0,60.0
110302,186.0,314.0
110303,424.0,155.0
110304,89.0,143.0
110305,25.0,375.0
110306,0.0,335.0
110310,467.0,9.0
110311,2.0,679.0
110313,406.0,302.0
110314,0.0,271.0
110315,0.0,259.0
350021,45.0,262.0
350028,0.0,187.0
350029,3.0,156.0
350031,0.0,76.0
350033,2.0,49.0
350034,0.0,44.0
350036,0.0,237.0
350043,0.0,6.0
350044,21.0,23.0
350046,607.0,748.0
350047,132.0,20.0
350055,82.0,566.0
350056,6.0,712.0
350057,26.0,455.0
350059,172.0,393.0
350061,123.0,81.0
350062,92.0,270.0
350063,118.0,336.0
350064,0.0,366.0
350065,723.0,35.0
350066,335.0,189.0
350067,140.0,45.0
350068,543.0,143.0
350069,161.0,726.0
350075,353.0,338.0
350076,115.0,405.0
350077,18.0,315.0
350078,0.0,250.0
350079,1150.0,285.0
350080,591.0,9.0
350081,12.0,85.0
350082,57.0,450.0
350083,51.0,90.0
350084,163.0,246.0
350085,270.0,33.0
350086,219.0,122.0
350087,940.0,0.0
350089,283.0,81.0
350090,1136.0,41.0
350091,375.0,95.0
350092,333.0,186.0
350093,486.0,44.0
350095,96.0,191.0
350096,340.0,208.0
350097,141.0,319.0
350098,382.0,253.0
350099,107.0,326.0
350100,2.0,43.0
350101,13.0,411.0
350106,0.0,1.0
350111,433.0,3.0
350113,0.0,4.0
350114,28.0,77.0
350115,4.0,32.0
350116,21.0,52.0
350117,86.0,14.0
350119,4.0,2.0
350120,562.0,4.0
350121,441.0,0.0
350122,424.0,0.0
350129,359.0,0.0
350131,145.0,0.0
350132,135.0,0.0
350133,1002.0,2.0
350134,610.0,56.0
350136,334.0,0.0
350137,221.0,2.0
350138,537.0,88.0
350139,175.0,1.0
350140,530.0,148.0
350141,470.0,25.0
350142,252.0,231.0
350143,364.0,94.0
350144,164.0,221.0
350145,366.0,56.0
350154,0.0,5.0
350155,350.0,122.0
350156,262.0,177.0
350157,73.0,183.0
350158,40.0,209.0
350159,69.0,207.0
350160,100.0,0.0
350161,151.0,0.0
350162,159.0,0.0
350164,363.0,0.0
350165,128.0,0.0
350166,249.0,0.0
350167,243.0,0.0
350168,231.0,0.0
350169,60.0,0.0
350170,40.0,0.0
350172,357.0,0.0
350174,80.0,0.0
350177,121.0,0.0
350178,14.0,0.0
350179,177.0,0.0
350180,178.0,0.0
350181,372.0,0.0
350182,211.0,0.0
350183,320.0,1.0
350184,157.0,0.0
350185,381.0,0.0
350186,307.0,0.0
350187,297.0,2.0
350188,217.0,0.0
350189,548.0,6.0
350190,103.0,23.0
350191,267.0,14.0
350192,487.0,52.0
350193,515.0,104.0
350194,482.0,79.0
350195,311.0,150.0
350196,178.0,106.0
350201,0.0,1.0
350203,549.0,246.0
350204,82.0,275.0
350205,21.0,216.0
350206,99.0,156.0
350207,29.0,98.0
350208,26.0,62.0
350209,100.0,2.0
350210,49.0,0.0
350211,174.0,0.0
350215,0.0,3.0
350216,0.0,1.0
350219,193.0,42.0
350220,150.0,12.0
350221,0.0,1.0
350222,0.0,1.0
350223,175.0,39.0
350224,12.0,0.0
350225,272.0,0.0
350232,274.0,0.0
350235,130.0,16.0
350239,119.0,51.0
350240,246.0,2.0
350241,137.0,0.0
350243,410.0,66.0
350244,49.0,42.0
350245,331.0,19.0
350247,125.0,76.0
350248,313.0,112.0
350249,128.0,20.0
350250,142.0,0.0
350251,292.0,193.0
350252,144.0,25.0
350254,341.0,264.0
350255,463.0,102.0
350256,346.0,48.0
350257,230.0,200.0
350258,497.0,155.0
350259,297.0,138.0
350260,123.0,247.0
350261,187.0,33.0
350267,0.0,1.0
350273,50.0,417.0
350274,69.0,331.0
350275,66.0,486.0
350276,25.0,153.0
350277,32.0,34.0
350278,23.0,107.0
350279,26.0,69.0
350281,3.0,15.0
350283,1.0,6.0
350284,16.0,4.0
350285,170.0,20.0
350286,190.0,106.0
350287,168.0,4.0
350288,201.0,21.0
350289,161.0,438.0
350290,226.0,433.0
350292,289.0,392.0
350293,169.0,439.0
350294,2.0,224.0
350295,56.0,270.0
350296,6.0,320.0
350297,8.0,141.0
350298,36.0,487.0
350299,210.0,379.0
350300,4.0,207.0
350301,554.0,366.0
350302,0.0,1.0
350312,297.0,1.0
350313,40.0,249.0
350314,48.0,310.0
350315,105.0,170.0
350316,12.0,46.0
350317,8.0,23.0
350318,44.0,185.0
350321,0.0,3.0
350322,210.0,2.0
350323,368.0,22.0
350324,93.0,107.0
350325,44.0,39.0
350326,330.0,234.0
350327,236.0,477.0
350328,149.0,427.0
350329,150.0,432.0
350330,287.0,394.0
350331,149.0,438.0
350332,33.0,153.0
350333,60.0,550.0
350334,17.0,193.0
350335,76.0,402.0
350336,12.0,321.0
350337,24.0,378.0
350338,68.0,399.0
350339,98.0,201.0
350340,2.0,494.0
350344,0.0,11.0
350348,0.0,1.0
350350,276.0,106.0
350351,252.0,169.0
350352,34.0,36.0
350353,252.0,373.0
350354,203.0,468.0
350355,182.0,441.0
350356,211.0,375.0
350357,183.0,289.0
350358,133.0,112.0
350359,225.0,278.0
350360,92.0,420.0
350361,56.0,432.0
350362,32.0,421.0
350363,148.0,377.0
350364,156.0,340.0
350365,110.0,296.0
350366,185.0,123.0
350367,106.0,75.0
350368,865.0,38.0
350369,154.0,40.0
350370,147.0,0.0
350371,562.0,63.0
350373,64.0,457.0
350374,8.0,294.0
350375,453.0,307.0
350376,24.0,353.0
350377,127.0,217.0
350378,159.0,119.0
350379,325.0,223.0
350380,97.0,102.0
350381,324.0,205.0
350382,0.0,33.0
350384,62.0,126.0
350385,85.0,668.0
350386,59.0,293.0
350387,26.0,330.0
350388,237.0,0.0
350390,30.0,150.0
350391,109.0,296.0
350392,325.0,170.0
350393,133.0,594.0
350394,74.0,257.0
350395,34.0,133.0
350396,562.0,41.0
350397,0.0,4.0
350398,182.0,181.0
350399,3.0,281.0
350400,0.0,1.0
350401,380.0,912.0
350402,59.0,178.0
350403,9.0,598.0
350404,106.0,295.0
350405,36.0,874.0
350406,248.0,504.0
350407,31.0,995.0
350409,380.0,252.0
350410,80.0,130.0
350411,30.0,965.0
350412,0.0,75.0
350413,0.0,327.0
350415,0.0,443.0
350422,169.0,163.0
350426,379.0,440.0
350427,0.0,49.0
350428,0.0,1.0
350429,283.0,4.0
350433,0.0,498.0
350434,146.0,111.0
350435,0.0,355.0
350436,196.0,0.0
350437,816.0,196.0
350440,0.0,283.0
350442,405.0,254.0
350443,202.0,420.0
350444,279.0,89.0
350445,304.0,0.0
350446,282.0,1.0
350447,205.0,2.0
350448,95.0,145.0
350449,312.0,748.0
350450,9.0,693.0
350451,0.0,1.0
350452,7.0,216.0
350453,0.0,538.0
350454,0.0,356.0
350455,0.0,399.0
350456,31.0,274.0
350457,0.0,309.0
350458,425.0,276.0
350459,516.0,201.0
350460,81.0,79.0
350461,405.0,267.0
350462,68.0,467.0
350463,162.0,186.0
350465,198.0,221.0
350466,492.0,87.0
350467,36.0,715.0
350468,26.0,950.0
350469,0.0,152.0
350470,50.0,191.0
350471,80.0,634.0
350472,56.0,974.0
350473,110.0,332.0
350474,78.0,386.0
350475,2.0,219.0
350476,0.0,83.0
350477,320.0,327.0
350478,529.0,20.0
350479,20.0,0.0
350480,584.0,11.0
350481,370.0,123.0
350482,504.0,170.0
350483,879.0,0.0
350484,42.0,1136.0
350485,6.0,512.0
350486,11.0,500.0
350487,0.0,228.0
350488,0.0,259.0
350489,25.0,406.0
350490,66.0,343.0
350491,52.0,261.0
350492,21.0,317.0
350493,2.0,119.0
350494,2078.0,216.0
350495,553.0,315.0
350497,0.0,1.0
350499,0.0,205.0
350500,0.0,566.0
350501,0.0,256.0
350502,0.0,379.0
350503,27.0,455.0
350504,19.0,510.0
350505,172.0,244.0
350506,149.0,231.0
350507,5.0,256.0
350508,41.0,489.0
350509,61.0,475.0
350510,0.0,616.0
350511,26.0,851.0
350512,0.0,367.0
350513,194.0,288.0
350514,164.0,460.0
350515,455.0,10.0
350516,0.0,121.0
350517,20.0,502.0
350518,495.0,305.0
350521,149.0,165.0
350525,0.0,2.0
350526,0.0,3.0
350528,0.0,797.0
350529,0.0,316.0
350531,0.0,612.0
350532,0.0,121.0
350533,140.0,541.0
350539,102.0,3.0
350540,172.0,10.0
350541,104.0,132.0
350542,25.0,49.0
350547,4.0,21.0
350548,0.0,2.0
350549,117.0,72.0
350550,13.0,13.0
350551,0.0,1.0
350552,112.0,180.0
350553,461.0,94.0
350554,189.0,228.0
350555,510.0,172.0
350559,218.0,0.0
350560,52.0,64.0
350561,21.0,71.0
350562,396.0,235.0
350563,304.0,299.0
350564,272.0,9.0
350566,0.0,6.0
350567,70.0,5.0
350568,26.0,51.0
350569,146.0,15.0
350570,15.0,19.0
350571,368.0,65.0
350572,254.0,146.0
350573,188.0,318.0
350574,42.0,14.0
350576,0.0,15.0
350577,68.0,15.0
350578,58.0,18.0
350579,0.0,2.0
350580,700.0,39.0
350581,573.0,203.0
350582,54.0,183.0
350583,1033.0,134.0
350584,312.0,76.0
350586,0.0,6.0
350587,344.0,8.0
350588,37.0,0.0
350589,0.0,2.0
350590,306.0,122.0
350591,173.0,173.0
350592,35.0,226.0
350593,36.0,193.0
350594,175.0,237.0
350595,69.0,234.0
350596,47.0,426.0
350597,4.0,569.0
350598,0.0,407.0
350599,0.0,772.0
350600,120.0,228.0
350601,145.0,178.0
350602,109.0,12.0
350603,21.0,448.0
350604,57.0,313.0
350605,54.0,219.0
350606,145.0,218.0
350607,88.0,288.0
350608,436.0,145.0
350609,81.0,224.0
350610,145.0,223.0
350611,169.0,97.0
350612,56.0,190.0
350613,116.0,147.0
350614,264.0,245.0
350615,125.0,242.0
350616,4.0,680.0
350617,408.0,47.0
350618,317.0,143.0
350619,53.0,206.0
350620,477.0,165.0
350621,0.0,201.0
350622,10.0,225.0
350623,38.0,329.0
350624,33.0,405.0
350625,0.0,674.0
350626,17.0,808.0
350627,590.0,11.0
350629,554.0,5.0
350630,592.0,3.0
350631,500.0,12.0
350632,375.0,172.0
350633,853.0,61.0
350634,640.0,101.0
350635,512.0,20.0
350636,175.0,312.0
350637,277.0,0.0
350638,201.0,122.0
350639,280.0,124.0
350640,30.0,200.0
350641,78.0,260.0
350642,76.0,189.0
350643,220.0,155.0
350644,924.0,346.0
350645,58.0,52.0
350646,500.0,173.0
350647,361.0,174.0
350648,208.0,177.0
350649,4.0,631.0
350650,0.0,467.0
350651,247.0,7.0
350652,0.0,877.0
350653,241.0,0.0
350654,80.0,922.0
350655,37.0,918.0
350656,0.0,412.0
350657,0.0,719.0
350658,0.0,889.0
350659,4.0,611.0
350660,0.0,648.0
350661,0.0,110.0
350662,11.0,472.0
350663,0.0,260.0
350664,0.0,344.0
350665,0.0,423.0
350666,0.0,738.0
350667,20.0,429.0
350668,175.0,100.0
350669,184.0,86.0
350670,0.0,375.0
350671,200.0,309.0
350672,1308.0,6.0
350673,624.0,0.0
350674,135.0,174.0
350675,47.0,116.0
350676,114.0,648.0
350677,1136.0,0.0
350678,87.0,179.0
350679,47.0,170.0
350680,34.0,698.0
350681,2.0,284.0
350682,94.0,409.0
350683,186.0,281.0
350684,24.0,607.0
350685,466.0,50.0
350686,82.0,674.0
350687,388.0,3.0
350688,30.0,208.0
350689,0.0,75.0
350690,156.0,210.0
350691,0.0,329.0
350692,2.0,268.0
350693,209.0,296.0
350694,114.0,265.0
350695,0.0,941.0
350696,2.0,1022.0
350697,16.0,591.0
350698,0.0,294.0
350699,564.0,0.0
350700,610.0,155.0
350701,2.0,433.0
350702,6.0,113.0
350703,0.0,517.0
350704,208.0,432.0
350705,38.0,386.0
350706,24.0,536.0
350707,18.0,225.0
350708,84.0,390.0
350709,20.0,295.0
350710,0.0,7.0
350711,0.0,1.0
350712,230.0,9.0
350713,249.0,9.0
350714,1306.0,1.0
350715,88.0,145.0
350716,0.0,1.0
350717,167.0,131.0
350718,462.0,28.0
350719,11.0,234.0
350720,521.0,211.0
350721,365.0,4.0
350722,293.0,13.0
350723,303.0,6.0
350724,221.0,171.0
350725,686.0,296.0
350726,238.0,465.0
350727,292.0,29.0
350730,4.0,23.0
350731,127.0,96.0
350732,579.0,253.0
350733,0.0,300.0
350734,0.0,456.0
350735,3.0,513.0
350737,0.0,5.0
350738,28.0,536.0
350739,348.0,310.0
350740,1015.0,78.0
350741,66.0,321.0
350742,461.0,74.0
350743,0.0,561.0
350744,56.0,175.0
350745,0.0,337.0
350746,232.0,226.0
350747,55.0,574.0
350748,490.0,230.0
350749,146.0,355.0
350751,2.0,231.0
350752,4.0,8.0
350753,0.0,2.0
350754,207.0,342.0
350755,9.0,23.0
350756,324.0,448.0
